INFO: text_id: D1115   uid: da3c08f5b666489a86a324990674ba79
INFO: text_id: D1118   uid: c3b1bff220f6433a847e9109d2c2e666
INFO: text_id: D1119   uid: d0ecd35a8b794b5fab64699eb3c39b13
INFO: text_id: D1120   uid: f31c348027ac49d39f9cc20786c0cdff
INFO: text_id: D1121   uid: deef5092359f4167a652dbf930b7101a
INFO: text_id: D1122   uid: 92e2cf316c87496aa176b4ad3d119307
INFO: text_id: D1123   uid: 8e6a9bbfeae9415caa3f9b838ada0e6a
INFO: text_id: D1124   uid: 123a4da0f0e54967b7d40833f64c898b
INFO: text_id: D1125   uid: 506dff28c19a4bf98c9b8a5767233c11
INFO: text_id: D1127   uid: ed6abfbd18404f719d2df39af3fc2055
INFO: text_id: D1128   uid: 41ff1b6a995d4a6582c38f89135e9aae
INFO: text_id: D1129   uid: 69753f9c007d4b61877742a803874c46
INFO: text_id: D1130   uid: 810f11f7a82b45d59db5b7d820f1dfb5
INFO: text_id: D1131   uid: d376fbfef09f4102839f5c7590f224de
INFO: text_id: D1132   uid: 7c695a0128a3480abf7d81702b148c68
INFO: text_id: D1133   uid: ffe9914caa62467ba652b4349c1c66be
INFO: text_id: D1134   uid: 9c5d86816a8f48fa8e7ed3b954666c5a
INFO: text_id: D1135   uid: 9184a028ebb6420d861e2698a5f853a1
INFO: text_id: D1136   uid: e0779c025f6348bca0efedd006113705
INFO: text_id: D1137   uid: 1f6f856771ec4633af56e95997e71542
INFO: text_id: D1146   uid: 8143286f4154444da1ace04769691861
INFO: text_id: D1150   uid: 7d931798c1494b0b83bdd825fbbbc4db
INFO: text_id: D1156   uid: 82442abaac7c402aaef1d3bb4a645d8e
INFO: text_id: D1157   uid: fcf0590c271c437dab9b75bb7b0b0193
INFO: text_id: D1158   uid: 4ae7aa01e1c948e2804b6c57e4c72ae5
INFO: text_id: D1162   uid: 23aed38edaf7467a97f75fd6363385b7
INFO: text_id: D1163   uid: e707f04caac14a9295a3d4166fe805da
INFO: text_id: D1166   uid: c0a84acb04f847419c6b05b518b127a6
INFO: text_id: D1191   uid: 1dce8964fe1d4643a919075b990bf151
INFO: text_id: D1206   uid: 1aecf32c569949cea4455cd792b85362
INFO: text_id: D1223   uid: d08940724f394dbd9ad20dd720050520
INFO: text_id: D1268   uid: ecf487b8688143fab6ab5ecf3c3fb93c
INFO: text_id: D1285   uid: b0ec05fe916743b99c92d32bed42029e
INFO: text_id: D1286   uid: fa3e8d0093b2405d8a8e8aa8c628e1ee
INFO: text_id: D1316   uid: 65380c0c5bdd4111ac5aa8b0bb4b74aa
INFO: text_id: D1340   uid: dc34fc1ede02464fa7ebf709104a3433
INFO: text_id: D1375   uid: 02395562115d4f3884c103332f0bb4e7
