INFO: text_id: D1115   uid: 1bca515e412049d5a128b1e5479ba58e
INFO: text_id: D1118   uid: e00a763af9464c1a85d52b543a3a5784
INFO: text_id: D1119   uid: ba8132c905364128a48d683462829922
INFO: text_id: D1120   uid: bea066b979344680aed4582e80c7c64d
INFO: text_id: D1121   uid: c2e7418e633d45978f039273571b4c8f
INFO: text_id: D1122   uid: 9a088b4448e64a908750065bfa86f98f
INFO: text_id: D1123   uid: d925937a7d9b46ddbffa7c9b6897e40c
INFO: text_id: D1124   uid: 348cd76afb744b20a7cc2b6e5c761264
INFO: text_id: D1125   uid: b47c2920b0194a82862ac6a99f1248fb
INFO: text_id: D1127   uid: 95ee63b3d95140e3a0f986308ea537d8
INFO: text_id: D1128   uid: 169a2b3b4c9146ba96d83575d4c4718a
INFO: text_id: D1129   uid: bf93dc0a7e0e48e1943f2a0e0a34b676
INFO: text_id: D1130   uid: 03a0cdccb8ed4c4fa940261332c46d5f
INFO: text_id: D1131   uid: e63f0177c300470d888d3c92e76fe2cd
INFO: text_id: D1132   uid: 48b57258483142a69d28517074cdd122
INFO: text_id: D1133   uid: a533efbfca4745729670fec34963bcc8
INFO: text_id: D1134   uid: 8ea6b8751db54db5abf9e31e49dd6f3e
INFO: text_id: D1135   uid: 9d290a70953c4804be0c5b3f994426da
INFO: text_id: D1136   uid: 5c520c8384144abc87c13405669fac65
INFO: text_id: D1137   uid: 26ed2b19fd9d4dc1aafb48363f34628c
INFO: text_id: D1146   uid: 0a2f6d31a90740fdbb23200e0b367759
INFO: text_id: D1150   uid: 29092f6933d94871bcda72c4177ff0e5
INFO: text_id: D1156   uid: dca7700d0d564657be5e44b848fa9059
INFO: text_id: D1157   uid: 12899506ae0a48958473018535d0c3be
INFO: text_id: D1158   uid: 4707a6610cb1452b97e7cab5fc28ad9a
INFO: text_id: D1162   uid: 5362faf7f0414b00be2d95524db3b425
INFO: text_id: D1163   uid: cd9d392ad4644306bbf9d20508d29d3c
INFO: text_id: D1166   uid: 330149b357ad496393bb978051cc18ca
INFO: text_id: D1191   uid: 0eefb7986bad4955b007df546783fbb3
INFO: text_id: D1206   uid: 703629db63934e8a902533c3740c8deb
INFO: text_id: D1223   uid: f245743cb6f04e89820f7ce9345a8f1f
INFO: text_id: D1268   uid: 6b0c25546ef24c9695e68b63ee67d38e
